OrderID,Amount
0,445.78
1,366.64
2,798.53
3,476.15
4,469.92
5,340.16
6,179.95
7,30.81
8,935.24
9,556.68
10,969.33
11,266.46
12,113.67
13,915.79
14,437.37
15,137.77
16,680.25
17,651.52
18,802.85
19,483.46
20,547.11
21,87.28
22,806.37
23,654.19
24,168.42
25,394.4
26,588.05
27,642.98
28,896.04
29,571.19
30,725.6
31,469.15
32,655.37
33,405.25
34,653.63
35,749.42
36,724.86
37,901.79
38,891.5
39,299.79
40,83.29
41,31.01
42,45.54
43,221.86
44,18.49
45,362.71
46,107.64
47,866.85
48,609.42
49,823.16
50,971.05
51,543.97
52,340.3
53,727.01
54,561.39
55,358.98
56,129.28
57,886.57
58,414.86
59,538.66
60,890.28
61,854.83
62,813.63
63,358.97
64,317.45
65,840.18
66,307.51
67,328.59
68,884.37
69,543.05
70,252.28
71,331.25
72,413.93
73,375.38
74,843.62
75,625.67
76,850.24
77,117.31
78,163.89
79,864.11
80,34.01
81,891.06
82,848.93
83,679.57
84,244.94
85,768.2
86,826.23
87,133.67
88,10.44
89,535.56
90,358.67
91,492.47
92,694.07
93,165.94
94,725.52
95,432.01
96,478.4
97,815.62
98,134.86
99,519.56
100,541.73
101,908.35
102,340.47
103,191.48
104,73.74
105,842.33
106,15.16
107,899.43
108,783.59
109,375.14
110,793.93
111,206.91
112,180.21
113,873.68
114,216.83
115,660.32
116,271.19
117,109.75
118,957.28
119,250.48
120,731.58
121,682.86
122,684.27
123,468.66
124,466.81
125,932.09
126,776.59
127,339.62
128,567.11
129,273.63
130,457.18
131,12.78
132,667.92
133,779.41
134,301.18
135,677.36
136,475.08
137,729.9
138,866.24
139,22.43
140,755.2
141,184.07
142,20.82
143,539.7
144,492.06
145,886.9
146,728.44
147,297.66
148,584.16
149,25.68
150,578.71
151,387.45
152,951.68
153,39.7
154,226.75
155,318.32
156,426.35
157,216.09
158,663.46
159,561.2
160,246.09
161,754.51
162,31.34
163,221.04
164,81.56
165,198.81
166,644.07
167,229.7
168,319.59
169,930.08
170,382.84
171,371.36
172,398.95
173,412.24
174,886.03
175,253.5
176,711.3
177,814.15
178,870.83
179,186.64
180,473.75
181,358.96
182,554.25
183,367.13
184,72.55
185,524.31
186,939.18
187,673.28
188,725.68
189,813.34
190,129.96
191,959.95
192,662.88
193,706.14
194,720.75
195,266.63
196,552.54
197,958.75
198,177.88
199,57.92
200,49.78
201,222.41
202,430.35
203,528.39
204,83.61
205,344.68
206,57.9
207,907.26
208,458.5
209,217.74
210,823.57
211,222.01
212,632.16
213,916.69
214,690.54
215,97.88
216,975.17
217,28.96
218,772.83
219,243.51
220,199.72
221,443.33
222,618.23
223,692.62
224,477.03
225,482.59
226,235.16
227,981.86
228,344.69
229,640.39
230,507.19
231,220.95
232,71.18
233,165.53
234,975.53
235,863.28
236,560.06
237,999.14
238,492.68
239,550.17
240,860.46
241,458.36
242,952.6
243,348.02
244,978.18
245,927.85
246,342.73
247,503.43
248,952.77
249,908.17
250,986.98
251,141.77
252,275.99
253,312.85
254,703.38
255,797.53
256,345.07
257,410.37
258,695.62
259,788.54
260,639.24
261,568.35
262,72.0
263,297.57
264,589.32
265,326.74
266,507.45
267,29.32
268,392.74
269,14.5
270,791.24
271,257.3
272,725.25
273,771.91
274,532.19
275,441.15
276,442.15
277,977.84
278,550.53
279,230.59
280,666.05
281,576.94
282,66.29
283,899.86
284,379.54
285,345.74
286,584.89
287,143.73
288,940.13
289,998.14
290,752.04
291,475.07
292,253.07
293,522.93
294,695.23
295,529.12
296,308.45
297,381.63
298,842.06
299,295.87
300,816.98
301,471.72
302,308.11
303,571.66
304,449.18
305,951.96
306,723.66
307,770.9
308,563.07
309,875.58
310,450.39
311,581.28
312,352.0
313,857.61
314,180.82
315,803.37
316,530.75
317,174.84
318,269.52
319,356.01
320,206.93
321,542.64
322,482.59
323,600.65
324,200.49
325,882.91
326,89.76
327,578.59
328,392.35
329,260.66
330,447.61
331,11.83
332,922.53
333,610.6
334,188.97
335,817.19
336,360.44
337,616.73
338,669.78
339,437.59
340,333.51
341,199.66
342,83.22
343,55.13
344,470.65
345,74.14
346,183.3
347,868.53
348,139.13
349,852.85
350,721.15
351,827.78
352,170.95
353,96.37
354,527.66
355,456.4
356,900.89
357,37.69
358,574.67
359,376.18
360,405.61
361,19.56
362,84.57
363,235.58
364,489.6
365,633.32
366,373.8
367,760.33
368,748.79
369,869.54
370,719.58
371,812.99
372,109.31
373,337.23
374,355.81
375,603.11
376,706.53
377,59.99
378,175.58
379,438.74
380,221.87
381,36.73
382,82.24
383,563.16
384,481.58
385,939.19
386,889.69
387,134.06
388,591.39
389,718.95
390,829.26
391,339.77
392,685.74
393,968.35
394,297.35
395,684.61
396,327.52
397,208.61
398,842.79
399,960.26
400,660.58
401,443.02
402,160.08
403,787.09
404,788.09
405,589.52
406,818.13
407,647.44
408,755.64
409,131.3
410,903.29
